Season Number,Episode Number,Pitch Number,Startup Name,Industry,Business Description,Pitchers Gender,Entrepreneur Names,Company Website,Original Ask Amount,Valuation Requested,Got Deal,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of sharks in deal,Investment Amount Per Shark,Equity Per Shark,Barbara Corcoran Investment Amount,Barbara Corcoran Investment Equity,Mark Cuban Investment Amount,Mark Cuban Investment Equity,Lori Greiner Investment Amount,Lori Greiner Investment Equity,Robert Herjavec Investment Amount,Robert Herjavec Investment Equity,Daymond John Investment Amount,Daymond John Investment Equity,Kevin O Leary Investment Amount,Kevin O Leary Investment Equity,Guest Investment Amount,Guest Investment Equity,Guest Name,Barbara Corcoran Present,Mark Cuban Present,Lori Greiner Present,Robert Herjavec Present,Daymond John Present,Kevin O Leary Present
1,6,26,PorkBarrelBBQSauce,Food and Beverage,Pork Barrel BBQ Sauce - Specialty Food,Male,Heath Hall_ Brett Thompson,http://porkbarrelbbq.com/,50000,500000,1,50000,50,100000,1,50000,50,50000,50,,,,,,,,,,,,,,1,0,0,1,1,1
1,6,27,ElementBars,Fitness/Sports/Outdoors,Element Bars - Specialty Food,Male,Jonathan Miller,http://www.elementbars.com/,150000,1000000,1,150000,30,500000,1,150000,30,,,,,,,,,,,,,150000,30,Kevin Harrington,1,0,0,1,1,1
1,6,28,UndereaseUnderwear,Fashion/Beauty,Underease Underwear - Undergarments and Basics,Mixed Team,Buck_ Arlene Weimer,,55000,220000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,6,29,KalyxTechnologies,Fashion/Beauty,Kalyx Technologies - Undergarments and Basics,Female,Kimberly Cayce,http://www.activewearusa.com/store/pc/Kalyx-Sport-Bras-c824.htm,125000,625000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,6,30,TheFizz,Food and Beverage,The Fizz - Non-Alcoholic Beverages,Male,David Chodosh,http://www.icecreamfizz.com/,150000,600000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,7,31,Soy-Yer-Dough,Food and Beverage,Soy-Yer-Dough - Toys and Games,Male,Sawyer Sparks,http://www.soy-yer.com/,125000,500000,1,300000,51,588235,3,100000,17,,,,,,,100000,17,100000,17,100000,17,,,,1,0,0,1,1,1
1,7,32,GrillCharmsSet,Fashion/Beauty,Grill Charms Set - Kitchen Tools,Female,Leslie Haywood,http://www.grillcharms.com,50000,200000,1,50000,20,250000,1,50000,20,,,,,,,50000,20,,,,,,,,1,0,0,1,1,1
1,7,33,BoogieBoxFitness,Fitness/Sports/Outdoors,Boogie Box Fitness - Fitness Programs,Female,Dedelle Parra (now Dede Barbanti)_ Kathy Lamm,,700000,1000000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,7,34,TheFunhouseProject,Media/Entertainment,The Fun house Project - Entertainment,Male,Todd Robbins_ David Adamovich,,300000,1500000,0,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1
1,8,35,TreasureChestPets,Pet Products,Treasure Chest Pets - Toys and Games,Female,Lisa Lloyd,,150000,750000,1,100000,60,166667,2,50000,30,50000,30,,,,,,,50000,30,,,,,,1,0,0,1,1,1
