Season Number,Episode Number,Pitch Number,Startup Name,Industry,Business Description,Pitchers Gender,Entrepreneur Names,Company Website,Original Ask Amount,Valuation Requested,Got Deal,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of sharks in deal,Investment Amount Per Shark,Equity Per Shark,Barbara Corcoran Investment Amount,Barbara Corcoran Investment Equity,Mark Cuban Investment Amount,Mark Cuban Investment Equity,Lori Greiner Investment Amount,Lori Greiner Investment Equity,Robert Herjavec Investment Amount,Robert Herjavec Investment Equity,Daymond John Investment Amount,Daymond John Investment Equity,Kevin O Leary Investment Amount,Kevin O Leary Investment Equity,Guest Investment Amount,Guest Investment Equity,Guest Name,Barbara Corcoran Present,Mark Cuban Present,Lori Greiner Present,Robert Herjavec Present,Daymond John Present,Kevin O Leary Present
4,11,202,PartiePoche,Fashion/Beauty,Partie Poche - Women's Accessories,Mixed Team,Connor Pastoor_ Jillian Jaccard,,100000,500000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,11,203,FatAssFudge,Food and Beverage,Fat Ass Fudge - Specialty Food,Female,Donna McCue,http://www.fat-assfudge.com,250000,5000000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,12,204,HotTot,Children/Education,Hot Tot - Baby and Child Care,Female,Megan Gage,http://hottot.com,50000,333333,1,75000,40,187500,1,75000,40,,,75000,40,,,,,,,,,,,,0,1,1,1,1,1
4,12,205,TheGameFaceCompany,Fashion/Beauty,The GameFace Company - Novelties,Male,Doug Marshall,http://www.thegamefacecompany.com,450000,1800000,1,450000,35,1285714,2,225000,17.5,,,225000,17.5,225000,17.5,,,,,,,,,,0,1,1,1,1,1
4,12,206,DuraTent,Food and Beverage,Dura Tent - Outdoor Recreation,Male,Dan Rothweil,http://www.duratent.com,50000,166667,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
4,12,207,ARKEG,Lifestyle/Home,ARKEG - Party Supplies,Male,Brant Myers_ Dan Grimm,,100000,303030,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
4,13,208,CoffeeJoulies,Food and Beverage,Coffee Joulies - Novelties,Male,Dave Jackson_ Dave Petrillo,http://www.joulies.com,150000,3000000,1,150000,0,0,4,37500,0,,,,,37500,0,37500,0,37500,0,37500,0,,,,0,1,1,1,1,1
4,13,209,TeddyNeedsABath,Children/Education,Teddy Needs A Bath- Storage and Cleaning Products,Female,Nicole Townend,http://www.teddyneedsabath.com,50000,500000,1,100000,30,333333,1,100000,30,,,100000,30,,,,,,,,,,,,0,1,1,1,1,1
4,13,210,Urbio,Lifestyle/Home,Urbio - Gardening,Male,Jared Aller_ Beau Oyler,http://www.myurbio.com,300000,2500000,1,300000,15,2000000,1,300000,15,,,,,300000,15,,,,,,,,,,0,1,1,1,1,1
4,13,211,SubZeroIceCream,Food and Beverage,Sub Zero Ice Cream - Specialty Food,Mixed Team,Jerry_ Naomi Hancock,http://www.subzeroicecream.com,300000,2500000,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
4,14,212,SoundBender,Electronics,Sound Bender - Electronics,Male,Rabbi Moshe Weiss,http://www.thesoundbender.com,54000,207692,1,54000,40,135000,1,54000,40,,,,,,,,,54000,40,,,,,,1,1,0,1,1,1
4,14,213,Bibitec,Children/Education,Bibitec Bibs - Baby and Child Care,Mixed Team,Susie_ Steve Taylor,http://www.bibbitec.com,40000,285714,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,14,214,CuddleTunes,Children/Education,Cuddle Story Telling Bear - Toys and Games,Male,Mike Robinson,http://www.cuddletunes.com,400000,2000000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,14,215,XeroShoes,Fitness/Sports/Outdoors,Invisible Xero Shoes - Men and Women's Shoes,Mixed Team,Lena Phoenix_ Steven Sashen,http://xeroshoes.com,400000,5000000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,15,216,HoodiePillow,Lifestyle/Home,Hoodie Pillow - Novelties,Mixed Team,Rebecca Rescate_ Chris Hindley,http://www.hoodiepillow.com,90000,600000,1,90000,20,450000,1,90000,20,,,,,,,90000,20,,,,,,,,1,1,0,1,1,1
4,15,217,GetGrinds,Food and Beverage,Get Grinds - Specialty Food,Male,Matt Canepa_ Pat Pezet,http://www.getgrinds.com,75000,750000,1,75000,15,500000,2,37500,7.5,,,,,,,37500,7.5,37500,7.5,,,,,,1,1,0,1,1,1
4,15,218,GreenGarmento,Fashion/Beauty,Green Garmento - Storage and Cleaning Products,Female,Jennie Nigrosh,http://thegreengarmento.com,300000,1500000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,15,219,MyColdSnap,Food and Beverage,My Cold Snap - Novelties,Male,Scott Duff_ Carlos Ortiz,,50000,50000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,16,220,SmartWheel,Automotive,The Smart Wheel - Automotive,Male,Jaiden Evarts,http://smartwheelusa.com,100000,666667,1,100000,30,333333,2,50000,15,,,50000,15,,,50000,15,,,,,,,,1,1,0,1,1,1
4,16,221,HowDoYouRoll?,Food and Beverage,HDYR Sushi Bars - Specialty Food,Male,Peter_ Yuen Yung,http://howdoyouroll.com,1000000,8333333,1,1000000,20,5000000,1,1000000,20,,,,,,,,,,,1000000,20,,,,1,1,0,1,1,1
4,16,222,GottaHaveS'More,Food and Beverage,Gotta Have S'More - Specialty Food,Female,Carmen Lindner,http://gottahavesmore.com,75000,300000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,16,223,PrettyPaddedRoom,Health/Wellness,Pretty Padded Room - Online Services,Female,Bea Arthur,https://prettypaddedroom.com,100000,333333,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,17,224,Addison'sWonderland,Children/Education,Addison's Wonderland - Baby and Children's Bedding,Female,Brooke Bryant_ Brittany Hayes,http://www.addisonswonderland.com,90000,450000,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
4,17,225,HipChixs,Fashion/Beauty,Hip Chixs - Women's Apparel,Female,Megan Jackson Carreker_ Aimee Miller,http://hipchixs.com,150000,428571,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
4,17,226,ProofEyeWear,Fashion/Beauty,Proof Eye Wear - Men and Women's Accessories,Male,Taylor_ Brooks_ Tanner Dame,http://www.iwantproof.com,150000,1500000,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
4,17,227,MuddyWaterCamo,Fitness/Sports/Outdoors,Muddy Water Camo - Outdoor Recreation,Male,Steve Maloney_ Steven Kirkpatrick,https://www.muddywatercamo.com,150000,3000000,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
4,18,228,JeskaShoeCompany,Fashion/Beauty,Jeska Shoe Company - Women's Shoes,Female,Jessica Haynes,,70000,233333,1,70000,70,100000,1,70000,70,,,,,,,,,70000,70,,,,,,1,1,0,1,1,1
4,18,229,Nuts'nMore,Food and Beverage,Nuts n More - Specialty Food,Male,Peter Ferreira_ Dennis Iannotti_ Neil Cameron,http://www.nuts-n-more.com,250000,1250000,1,250000,30,833333,2,125000,15,,,125000,15,,,125000,15,,,,,,,,1,1,0,1,1,1
4,18,230,NeoInnovations,Health/Wellness,Neo Innovations - Homeopathic Remedies,Male,Nick Gonzales_ Kevin Mack,http://neomagneticlight.com,80000,400000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,18,231,PSIBands,Health/Wellness,PSI Bands - Homeopathic Remedies,Female,Romy Taormina,http://www.psibands.com,250000,2500000,0,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1
4,19,232,CordaRoy's,Lifestyle/Home,CordaRoy's Bean Bag Beds - Furniture,Male,Byron Young,http://cordaroys.com,200000,1000000,1,200000,58,344828,1,200000,58,,,,,200000,58,,,,,,,,,,0,1,1,1,1,1
4,19,233,Lose12Inches,Fitness/Sports/Outdoors,Lose 12 - Fitness Programs,Male,"Ryan ""Cowboy"" Ehmann",http://www.lose12inches.com,120000,480000,1,125000,25,500000,1,125000,25,,,,,,,,,125000,25,,,,,,0,1,1,1,1,1
4,19,234,BabyLovesDisco,Children/Education,Baby Loves Disco - Baby and Children's Entertainment,Mixed Team,Heather Murphy-Monteith__y Hurwitz,http://babylovesdisco.com,150000,1500000,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
4,19,235,CellHelmet,Electronics,Cell Helmet - Electronics,Male,David Artuso_ Mike Kane,http://www.cellhelmet.com,160000,800000,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1
4,20,236,CoolWraps,Lifestyle/Home,CoolWraps - Holiday Cheer,Male,Jeffrey Miller,http://www.coolwraps.com,100000,250000,1,250000,100,250000,1,250000,100,,,250000,100,,,,,,,,,,,,0,1,1,1,1,1
